,ID_F,ID_H_x,assay_chembl_id,value_F,type_H,value_H
0,CHEMBL3403099,CHEMBL3403090,CHEMBL3405909,11.0,IC50,45.0
11,CHEMBL3403134,CHEMBL3317729,CHEMBL3405909,172.0,IC50,46.0
20,CHEMBL94641,CHEMBL327491,CHEMBL688289,1.9,IC50,0.86
37,CHEMBL3403255,CHEMBL3403242,CHEMBL3405734,1.78,IC50,17.26
50,CHEMBL3403255,CHEMBL3403242,CHEMBL3405737,0.78,IC50,9.79
63,CHEMBL3403243,CHEMBL3403242,CHEMBL3405734,34.88,IC50,17.26
76,CHEMBL3403243,CHEMBL3403242,CHEMBL3405737,19.74,IC50,9.79
89,CHEMBL3403254,CHEMBL3403242,CHEMBL3405734,20.52,IC50,17.26
102,CHEMBL3403254,CHEMBL3403242,CHEMBL3405737,9.84,IC50,9.79
116,CHEMBL3403279,CHEMBL3403266,CHEMBL3405734,45.92,IC50,12.7
129,CHEMBL3403279,CHEMBL3403266,CHEMBL3405737,23.54,IC50,9.4
142,CHEMBL3403267,CHEMBL3403266,CHEMBL3405734,29.81,IC50,12.7
155,CHEMBL3403267,CHEMBL3403266,CHEMBL3405737,16.72,IC50,9.4
168,CHEMBL3403278,CHEMBL3403266,CHEMBL3405734,68.22,IC50,12.7
181,CHEMBL3403278,CHEMBL3403266,CHEMBL3405737,39.44,IC50,9.4
195,CHEMBL3400181,CHEMBL3403269,CHEMBL3405734,56.15,IC50,3.77
208,CHEMBL3400181,CHEMBL3403269,CHEMBL3405737,25.5,IC50,1.21
219,CHEMBL3403306,CHEMBL3403305,CHEMBL3404577,50.0,IC50,50.0
221,CHEMBL3403306,CHEMBL3403305,CHEMBL3404576,50.0,IC50,50.0
223,CHEMBL3403306,CHEMBL3403305,CHEMBL3404578,100.0,IC50,100.0
225,CHEMBL3403306,CHEMBL3403305,CHEMBL3404579,100.0,IC50,100.0
227,CHEMBL3403306,CHEMBL3403305,CHEMBL3404580,100.0,IC50,100.0
229,CHEMBL3403306,CHEMBL3403305,CHEMBL3404581,100.0,IC50,100.0
231,CHEMBL3403306,CHEMBL3403305,CHEMBL3404582,100.0,IC50,100.0
234,CHEMBL3403312,CHEMBL3403311,CHEMBL3404577,50.0,IC50,50.0
236,CHEMBL3403312,CHEMBL3403311,CHEMBL3404576,50.0,IC50,50.0
238,CHEMBL3403312,CHEMBL3403311,CHEMBL3404578,100.0,IC50,100.0
240,CHEMBL3403312,CHEMBL3403311,CHEMBL3404579,100.0,IC50,100.0
242,CHEMBL3403312,CHEMBL3403311,CHEMBL3404580,100.0,IC50,100.0
244,CHEMBL3403312,CHEMBL3403311,CHEMBL3404581,100.0,IC50,100.0
246,CHEMBL3403312,CHEMBL3403311,CHEMBL3404582,100.0,IC50,100.0
259,CHEMBL136562,CHEMBL136333,CHEMBL880016,16.0,IC50,730.0
265,CHEMBL136562,CHEMBL136333,CHEMBL671129,82.0,IC50,2800.0
272,CHEMBL3403398,CHEMBL3403397,CHEMBL3407001,75.2,IC50,35.2
274,CHEMBL3403398,CHEMBL3403397,CHEMBL3407002,25.2,IC50,17.67
276,CHEMBL3403398,CHEMBL3403397,CHEMBL3407003,42.26,IC50,18.34
278,CHEMBL3403399,CHEMBL3403397,CHEMBL3407001,66.88,IC50,35.2
280,CHEMBL3403399,CHEMBL3403397,CHEMBL3407002,18.23,IC50,17.67
282,CHEMBL3403399,CHEMBL3403397,CHEMBL3407003,20.65,IC50,18.34
285,CHEMBL3403412,CHEMBL3403410,CHEMBL3407001,52.27,IC50,48.92
287,CHEMBL3403412,CHEMBL3403410,CHEMBL3407002,36.99,IC50,13.53
289,CHEMBL3403412,CHEMBL3403410,CHEMBL3407003,37.34,IC50,25.25
291,CHEMBL3403411,CHEMBL3403410,CHEMBL3407001,34.63,IC50,48.92
293,CHEMBL3403411,CHEMBL3403410,CHEMBL3407002,25.17,IC50,13.53
295,CHEMBL3403411,CHEMBL3403410,CHEMBL3407003,28.53,IC50,25.25
296,CHEMBL3402291,CHEMBL3402288,CHEMBL3406577,10.52,IC50,51.8
301,CHEMBL3402291,CHEMBL3402288,CHEMBL3406576,23.08,IC50,8.11
306,CHEMBL3402517,CHEMBL3402516,CHEMBL3405562,7.6,IC50,9.5
308,CHEMBL109865,CHEMBL110661,CHEMBL644305,6150.0,IC50,10000.0
310,CHEMBL109865,CHEMBL110661,CHEMBL878705,3.75,IC50,4.5
312,CHEMBL322815,CHEMBL110661,CHEMBL644305,10000.0,IC50,10000.0
314,CHEMBL322815,CHEMBL110661,CHEMBL878705,2.1,IC50,4.5
316,CHEMBL378854,CHEMBL213884,CHEMBL854523,100.0,IC50,8.5
322,CHEMBL215674,CHEMBL213884,CHEMBL854523,9.0,IC50,8.5
326,CHEMBL213476,CHEMBL213884,CHEMBL854523,47.0,IC50,8.5
330,CHEMBL3402786,CHEMBL3402781,CHEMBL3404732,433.9,IC50,1740.9
334,CHEMBL3402786,CHEMBL3402781,CHEMBL3404734,1450.8,IC50,1740.9
338,CHEMBL3402786,CHEMBL3402781,CHEMBL3404736,22.8,IC50,67.3
342,CHEMBL3402788,CHEMBL3402781,CHEMBL3404732,514.8,IC50,1740.9
346,CHEMBL3402788,CHEMBL3402781,CHEMBL3404734,1774.8,IC50,1740.9
350,CHEMBL3402788,CHEMBL3402781,CHEMBL3404736,22.5,IC50,67.3
354,CHEMBL3402787,CHEMBL3402781,CHEMBL3404732,613.2,IC50,1740.9
358,CHEMBL3402787,CHEMBL3402781,CHEMBL3404734,1516.8,IC50,1740.9
362,CHEMBL3402787,CHEMBL3402781,CHEMBL3404736,64.8,IC50,67.3
366,CHEMBL1165442,CHEMBL1164274,CHEMBL1167968,9.0,IC50,70.0
367,CHEMBL1164007,CHEMBL1164274,CHEMBL1167968,9.0,IC50,70.0
368,CHEMBL97946,CHEMBL98943,CHEMBL819324,0.03,IC50,0.1
370,CHEMBL97946,CHEMBL98943,CHEMBL821143,40.0,IC50,100.0
385,CHEMBL327504,CHEMBL319165,CHEMBL712593,430.0,IC50,400.0
388,CHEMBL327504,CHEMBL319165,CHEMBL802897,2.3,IC50,7.8
392,CHEMBL322240,CHEMBL444805,CHEMBL877861,100.0,IC50,258.11
393,CHEMBL322240,CHEMBL444805,CHEMBL769645,0.0316,IC50,0.0042
397,CHEMBL117793,CHEMBL424066,CHEMBL810248,3.0,IC50,0.08
400,CHEMBL117793,CHEMBL424066,CHEMBL812394,0.011,IC50,0.06
404,CHEMBL1584249,CHEMBL1383665,CHEMBL2114748,118.562,IC50,118.575
410,CHEMBL1584249,CHEMBL1383665,CHEMBL2114749,83.289,IC50,83.299
416,CHEMBL1584249,CHEMBL1383665,CHEMBL2114814,0.7851,IC50,3.383
460,CHEMBL3417061,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
462,CHEMBL3417059,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
464,CHEMBL3417069,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
466,CHEMBL3417070,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
472,CHEMBL1165574,CHEMBL275362,CHEMBL2338836,7.81,IC50,7.14
481,CHEMBL1165574,CHEMBL275362,CHEMBL2338837,8.92,IC50,8.05
490,CHEMBL1165574,CHEMBL275362,CHEMBL2338838,4246.83,IC50,3235.42
499,CHEMBL1163869,CHEMBL275362,CHEMBL2338836,1869.59,IC50,7.14
508,CHEMBL1163869,CHEMBL275362,CHEMBL2338837,1820.53,IC50,8.05
517,CHEMBL1163869,CHEMBL275362,CHEMBL2338838,4302.21,IC50,3235.42
526,CHEMBL1163444,CHEMBL275362,CHEMBL2338836,7.29,IC50,7.14
535,CHEMBL1163444,CHEMBL275362,CHEMBL2338837,8.31,IC50,8.05
544,CHEMBL1163444,CHEMBL275362,CHEMBL2338838,4366.42,IC50,3235.42
553,CHEMBL3431622,CHEMBL3431470,CHEMBL3431930,0.5529,IC50,0.6612
574,CHEMBL3431622,CHEMBL3431470,CHEMBL3431931,100.0,IC50,100.0
595,CHEMBL3431622,CHEMBL3431470,CHEMBL3431932,0.0523,IC50,0.0184
615,CHEMBL3431622,CHEMBL3431470,CHEMBL3431933,0.0312,IC50,0.0533
636,CHEMBL3431622,CHEMBL3431470,CHEMBL3431934,100.0,IC50,100.0
657,CHEMBL3431799,CHEMBL3431801,CHEMBL3431930,100.0,IC50,100.0
678,CHEMBL3431799,CHEMBL3431801,CHEMBL3431931,0.5072,IC50,0.1934
699,CHEMBL3431799,CHEMBL3431801,CHEMBL3431932,0.0768,IC50,0.0727
719,CHEMBL3431799,CHEMBL3431801,CHEMBL3431933,0.2104,IC50,0.1033
740,CHEMBL3431799,CHEMBL3431801,CHEMBL3431934,1.3072,IC50,0.6426
759,CHEMBL1214338,CHEMBL1214336,CHEMBL1217501,1.7,IC50,0.5
760,CHEMBL1214338,CHEMBL1214336,CHEMBL1217500,1.1,IC50,2.1
761,CHEMBL1214338,CHEMBL1214336,CHEMBL1217499,10.0,IC50,10.0
762,CHEMBL1214338,CHEMBL1214336,CHEMBL1217498,10.0,IC50,10.0
763,CHEMBL1214338,CHEMBL1214336,CHEMBL1217497,10.0,IC50,10.0
764,CHEMBL1214338,CHEMBL1214336,CHEMBL1217496,10.0,IC50,10.0
765,CHEMBL1214338,CHEMBL1214336,CHEMBL1217495,10.0,IC50,0.6
766,CHEMBL1214337,CHEMBL1214336,CHEMBL1217501,2.1,IC50,0.5
767,CHEMBL1214337,CHEMBL1214336,CHEMBL1217500,2.5,IC50,2.1
768,CHEMBL1214337,CHEMBL1214336,CHEMBL1217499,10.0,IC50,10.0
769,CHEMBL1214337,CHEMBL1214336,CHEMBL1217498,10.0,IC50,10.0
770,CHEMBL1214337,CHEMBL1214336,CHEMBL1217497,9.0,IC50,10.0
771,CHEMBL1214337,CHEMBL1214336,CHEMBL1217496,10.0,IC50,10.0
772,CHEMBL1214337,CHEMBL1214336,CHEMBL1217495,10.0,IC50,0.6
773,CHEMBL3421639,CHEMBL3422257,CHEMBL3423816,11.5,IC50,4.8
776,CHEMBL3421639,CHEMBL3422257,CHEMBL3423815,0.043,IC50,0.2
779,CHEMBL3421639,CHEMBL3422257,CHEMBL3423817,36.7,IC50,16.1
783,CHEMBL3422258,CHEMBL3422257,CHEMBL3423816,5.9,IC50,4.8
786,CHEMBL3422258,CHEMBL3422257,CHEMBL3423815,0.2,IC50,0.2
789,CHEMBL3422258,CHEMBL3422257,CHEMBL3423817,22.1,IC50,16.1
792,CHEMBL3422335,CHEMBL3422257,CHEMBL3423816,9.8,IC50,4.8
795,CHEMBL3422335,CHEMBL3422257,CHEMBL3423815,0.3,IC50,0.2
798,CHEMBL3422335,CHEMBL3422257,CHEMBL3423817,15.4,IC50,16.1
801,CHEMBL1214480,CHEMBL1214417,CHEMBL1217312,1.39,IC50,13.1
807,CHEMBL1214480,CHEMBL1214417,CHEMBL1217313,9.2,IC50,0.73
813,CHEMBL1214481,CHEMBL1214417,CHEMBL1217312,1.74,IC50,13.1
819,CHEMBL1214481,CHEMBL1214417,CHEMBL1217313,2.56,IC50,0.73
825,CHEMBL1214534,CHEMBL1214417,CHEMBL1217312,2.86,IC50,13.1
831,CHEMBL1214534,CHEMBL1214417,CHEMBL1217313,1.2,IC50,0.73
837,CHEMBL1214533,CHEMBL1214417,CHEMBL1217312,2.7,IC50,13.1
843,CHEMBL1214533,CHEMBL1214417,CHEMBL1217313,2.94,IC50,0.73
850,CHEMBL1214585,CHEMBL1214479,CHEMBL1217312,1.15,IC50,5.78
856,CHEMBL1214585,CHEMBL1214479,CHEMBL1217313,3.32,IC50,8.26
862,CHEMBL1214586,CHEMBL1214479,CHEMBL1217312,5.05,IC50,5.78
868,CHEMBL1214586,CHEMBL1214479,CHEMBL1217313,20.35,IC50,8.26
873,CHEMBL1214663,CHEMBL1214662,CHEMBL1219277,10000.0,IC50,1370.0
880,CHEMBL3233325,CHEMBL3233322,CHEMBL3242471,10.8,IC50,6.25
883,CHEMBL1213805,CHEMBL190880,CHEMBL1217000,1.0,IC50,4.0
968,CHEMBL4160305,CHEMBL4175408,CHEMBL4156801,100.0,IC50,100.0
970,CHEMBL4160305,CHEMBL4175408,CHEMBL4156802,100.0,IC50,25.0
972,CHEMBL3260322,CHEMBL3260319,CHEMBL3271319,1.5,IC50,1.5
973,CHEMBL3260320,CHEMBL3260319,CHEMBL3271319,1.5,IC50,1.5
1126,CHEMBL1490656,CHEMBL1563702,CHEMBL1614183,11.322,IC50,60.441
1177,CHEMBL1164797,CHEMBL185148,CHEMBL1166706,0.0016,IC50,0.0025
1184,CHEMBL1164593,CHEMBL185148,CHEMBL1166706,0.0071,IC50,0.0025
1191,CHEMBL1163362,CHEMBL185148,CHEMBL1166706,0.0064,IC50,0.0025
1201,CHEMBL1213726,CHEMBL1214587,CHEMBL1217312,0.54,IC50,0.71
1207,CHEMBL1213726,CHEMBL1214587,CHEMBL1217313,0.06,IC50,0.52
1213,CHEMBL1213725,CHEMBL1214587,CHEMBL1217312,5.24,IC50,0.71
1219,CHEMBL1213725,CHEMBL1214587,CHEMBL1217313,12.74,IC50,0.52
1225,CHEMBL1213727,CHEMBL1214587,CHEMBL1217312,0.42,IC50,0.71
1231,CHEMBL1213727,CHEMBL1214587,CHEMBL1217313,0.27,IC50,0.52
1237,CHEMBL1213787,CHEMBL1214587,CHEMBL1217312,0.53,IC50,0.71
1243,CHEMBL1213787,CHEMBL1214587,CHEMBL1217313,0.13,IC50,0.52
1250,CHEMBL1213849,CHEMBL1213724,CHEMBL1217312,2.53,IC50,1.02
1256,CHEMBL1213849,CHEMBL1213724,CHEMBL1217313,5.52,IC50,0.59
1262,CHEMBL1213850,CHEMBL1213724,CHEMBL1217312,3.33,IC50,1.02
1268,CHEMBL1213850,CHEMBL1213724,CHEMBL1217313,4.58,IC50,0.59
1271,CHEMBL1213987,CHEMBL1213988,CHEMBL1217377,67.3,IC50,50.1
1272,CHEMBL1213987,CHEMBL1213988,CHEMBL1217548,10000.0,IC50,4216.0
1368,CHEMBL247043,CHEMBL247415,CHEMBL902350,9.0,IC50,20.0
1371,CHEMBL247043,CHEMBL247415,CHEMBL902351,110.0,IC50,110.0
1405,CHEMBL1165361,CHEMBL1164103,CHEMBL1166706,0.0243,IC50,0.00028
1411,CHEMBL2151200,CHEMBL2151159,CHEMBL2155446,14.0,IC50,11.0
1413,CHEMBL2151198,CHEMBL2151159,CHEMBL2155446,28.0,IC50,11.0
1415,CHEMBL2151202,CHEMBL2151159,CHEMBL2155446,14.0,IC50,11.0
1417,CHEMBL391158,CHEMBL230204,CHEMBL886694,0.59,IC50,0.53
1418,CHEMBL397336,CHEMBL230204,CHEMBL886694,1.4,IC50,0.53
1419,CHEMBL1165222,CHEMBL1164674,CHEMBL1167874,0.0074,IC50,0.021
1421,CHEMBL1165222,CHEMBL1164674,CHEMBL1167875,3.6,IC50,1.1
1423,CHEMBL1172985,CHEMBL1172922,CHEMBL1176954,5.87,IC50,100.0
1434,CHEMBL259645,CHEMBL258658,CHEMBL923541,0.88,IC50,1.1
1436,CHEMBL393015,CHEMBL428206,CHEMBL885826,51.7,IC50,30.9
1438,CHEMBL393015,CHEMBL428206,CHEMBL885827,16.6,IC50,6.6
1440,CHEMBL402325,CHEMBL403309,CHEMBL921632,1.48,IC50,0.86
1441,CHEMBL2151487,CHEMBL2151485,CHEMBL2157267,10000.0,IC50,10000.0
1445,CHEMBL1518198,CHEMBL1518866,CHEMBL1613791,22.47,IC50,42.39
1473,CHEMBL1518198,CHEMBL1518866,CHEMBL1614100,22.95,IC50,34.43
1501,CHEMBL1518198,CHEMBL1518866,CHEMBL1613892,53.994,IC50,56.184
1528,CHEMBL1518198,CHEMBL1518866,CHEMBL2354289,1.647,IC50,0.44379
1548,CHEMBL1518198,CHEMBL1518866,CHEMBL2354264,29.907,IC50,29.91
1569,CHEMBL1173704,CHEMBL1173640,CHEMBL1177082,0.26,IC50,22.0
1574,CHEMBL1172721,CHEMBL1173640,CHEMBL1177082,7.5,IC50,22.0
1577,CHEMBL1170284,CHEMBL1173640,CHEMBL1177082,0.87,IC50,22.0
1579,CHEMBL1204411,CHEMBL1204410,CHEMBL1101480,0.003,IC50,0.012
1582,CHEMBL1204412,CHEMBL1204410,CHEMBL1101480,0.005,IC50,0.012
1585,CHEMBL1204412,CHEMBL1204410,CHEMBL1101481,8.0,IC50,2.5
1588,CHEMBL1204414,CHEMBL1204410,CHEMBL1101480,0.011,IC50,0.012
1591,CHEMBL1204414,CHEMBL1204410,CHEMBL1101481,0.34,IC50,2.5
1594,CHEMBL1204415,CHEMBL1204410,CHEMBL1101480,0.027,IC50,0.012
1597,CHEMBL1204415,CHEMBL1204410,CHEMBL1101481,0.6,IC50,2.5
1600,CHEMBL1204413,CHEMBL1204410,CHEMBL1101480,0.026,IC50,0.012
1603,CHEMBL1204413,CHEMBL1204410,CHEMBL1101481,0.24,IC50,2.5
1606,CHEMBL1204413,CHEMBL1204410,CHEMBL1101482,4.0,IC50,6.6
1607,CHEMBL1209657,CHEMBL1209587,CHEMBL1211224,0.6,IC50,0.68
1609,CHEMBL1082623,CHEMBL1082641,CHEMBL1120064,440.0,IC50,496.0
1612,CHEMBL2029983,CHEMBL2029967,CHEMBL2033393,549.0,IC50,183.0
1615,CHEMBL2029983,CHEMBL2029967,CHEMBL2033392,174.0,IC50,101.0
1618,CHEMBL2029982,CHEMBL2029967,CHEMBL2033393,1985.0,IC50,183.0
1621,CHEMBL2029982,CHEMBL2029967,CHEMBL2033392,339.0,IC50,101.0
1630,CHEMBL2029988,CHEMBL1824069,CHEMBL2033393,78.0,IC50,328.0
1633,CHEMBL2029988,CHEMBL1824069,CHEMBL2033392,82.0,IC50,121.0
1635,CHEMBL1824079,CHEMBL1824069,CHEMBL1828156,113.0,IC50,121.0
1638,CHEMBL2029987,CHEMBL1824069,CHEMBL2033393,145.0,IC50,328.0
1641,CHEMBL2029987,CHEMBL1824069,CHEMBL2033392,109.0,IC50,121.0
1643,CHEMBL2043144,CHEMBL2042382,CHEMBL2046045,6.0,IC50,70.0
1648,CHEMBL2042548,CHEMBL2042382,CHEMBL2046045,5.5,IC50,70.0
2028,CHEMBL1085244,CHEMBL1082671,CHEMBL1118836,23.0,IC50,69.0
2033,CHEMBL2058362,CHEMBL2058360,CHEMBL2061607,0.15,IC50,0.18
2039,CHEMBL2058362,CHEMBL2058360,CHEMBL2061615,10.0,IC50,10.0
2045,CHEMBL2058610,CHEMBL2058360,CHEMBL2061607,0.6,IC50,0.18
2051,CHEMBL2058610,CHEMBL2058360,CHEMBL2061615,10.0,IC50,10.0
2057,CHEMBL2058609,CHEMBL2058360,CHEMBL2061607,0.51,IC50,0.18
2063,CHEMBL2058609,CHEMBL2058360,CHEMBL2061615,10.0,IC50,10.0
2069,CHEMBL2058607,CHEMBL2058360,CHEMBL2061607,0.32,IC50,0.18
2075,CHEMBL2058607,CHEMBL2058360,CHEMBL2061615,10.0,IC50,10.0
2081,CHEMBL2058363,CHEMBL2058360,CHEMBL2061607,0.15,IC50,0.18
2087,CHEMBL2058363,CHEMBL2058360,CHEMBL2061615,10.0,IC50,10.0
2093,CHEMBL1215738,CHEMBL1212969,CHEMBL1219010,4.0,IC50,27.0
2101,CHEMBL1215738,CHEMBL1212969,CHEMBL1219011,4.0,IC50,27.0
2109,CHEMBL1215738,CHEMBL1212969,CHEMBL1219014,92.6,IC50,216.5
2116,CHEMBL1215738,CHEMBL1212969,CHEMBL1219015,92.6,IC50,216.5
2123,CHEMBL1215737,CHEMBL1212969,CHEMBL1219010,30.0,IC50,27.0
2131,CHEMBL1215737,CHEMBL1212969,CHEMBL1219011,30.0,IC50,27.0
2139,CHEMBL1215737,CHEMBL1212969,CHEMBL1219014,35.3,IC50,216.5
2146,CHEMBL1215737,CHEMBL1212969,CHEMBL1219015,35.3,IC50,216.5
2153,CHEMBL1215736,CHEMBL1212969,CHEMBL1219010,38.0,IC50,27.0
2161,CHEMBL1215736,CHEMBL1212969,CHEMBL1219011,38.0,IC50,27.0
2169,CHEMBL1215736,CHEMBL1212969,CHEMBL1219014,44.5,IC50,216.5
2176,CHEMBL1215736,CHEMBL1212969,CHEMBL1219015,44.5,IC50,216.5
2183,CHEMBL2058376,CHEMBL2058371,CHEMBL2060169,11.0,IC50,9.1
2185,CHEMBL2058376,CHEMBL2058371,CHEMBL2060170,10.0,IC50,9.3
2187,CHEMBL1257671,CHEMBL1257550,CHEMBL1261151,0.04,IC50,0.115
2188,CHEMBL1257671,CHEMBL1257550,CHEMBL1261148,0.7,IC50,1.5
2189,CHEMBL1257552,CHEMBL1257550,CHEMBL1261151,0.064,IC50,0.115
2190,CHEMBL1257552,CHEMBL1257550,CHEMBL1261148,0.4,IC50,1.5
2191,CHEMBL1257670,CHEMBL1257550,CHEMBL1261151,0.093,IC50,0.115
2192,CHEMBL1257670,CHEMBL1257550,CHEMBL1261148,2.2,IC50,1.5
2193,CHEMBL1257679,CHEMBL1257556,CHEMBL1261338,0.29,IC50,0.12
2194,CHEMBL1257679,CHEMBL1257556,CHEMBL1261339,0.99,IC50,1.3
2195,CHEMBL1257558,CHEMBL1257556,CHEMBL1261338,0.57,IC50,0.12
2196,CHEMBL1257558,CHEMBL1257556,CHEMBL1261339,1.49,IC50,1.3
2197,CHEMBL1257559,CHEMBL1257556,CHEMBL1261338,0.27,IC50,0.12
2198,CHEMBL1257559,CHEMBL1257556,CHEMBL1261339,0.38,IC50,1.3
2209,CHEMBL2040612,CHEMBL2040610,CHEMBL2040664,200.0,IC50,200.0
2213,CHEMBL2040614,CHEMBL2040610,CHEMBL2040664,200.0,IC50,200.0
2217,CHEMBL2040613,CHEMBL2040610,CHEMBL2040664,200.0,IC50,200.0
2223,CHEMBL1203469,CHEMBL1203522,CHEMBL686427,2.7,IC50,1.5
2225,CHEMBL2093707,CHEMBL2093705,CHEMBL2093840,11.442,IC50,10.902
2231,CHEMBL2093707,CHEMBL2093705,CHEMBL2093836,11.442,IC50,10.421
2237,CHEMBL2093707,CHEMBL2093705,CHEMBL2093837,8.359,IC50,4.747
2243,CHEMBL2093707,CHEMBL2093705,CHEMBL2093838,11.442,IC50,10.902
2249,CHEMBL2093707,CHEMBL2093705,CHEMBL2093839,11.442,IC50,10.902
2255,CHEMBL1275932,CHEMBL1275930,CHEMBL1285248,104.0,IC50,1000.0
2258,CHEMBL1275932,CHEMBL1275930,CHEMBL1285247,159.2,IC50,9.6
2261,CHEMBL1275932,CHEMBL1275930,CHEMBL1285245,106.6,IC50,1000.0
2264,CHEMBL1275932,CHEMBL1275930,CHEMBL1285246,96.32,IC50,1000.0
2267,CHEMBL2092749,CHEMBL2092989,CHEMBL663471,17.0,IC50,21.0
2273,CHEMBL2092749,CHEMBL2092989,CHEMBL658780,100.0,IC50,28.0
2280,CHEMBL1224743,CHEMBL494697,CHEMBL1228648,61.6,IC50,42.7
2283,CHEMBL1224743,CHEMBL494697,CHEMBL1228650,79.8,IC50,59.2
2289,CHEMBL2048569,CHEMBL2048568,CHEMBL2051643,2.2,IC50,3.1
2294,CHEMBL2048569,CHEMBL2048568,CHEMBL2051644,30.0,IC50,49.0
2299,CHEMBL2048578,CHEMBL2048568,CHEMBL2051643,5.5,IC50,3.1
2304,CHEMBL2048578,CHEMBL2048568,CHEMBL2051644,90.0,IC50,49.0
2309,CHEMBL2048577,CHEMBL2048568,CHEMBL2051643,2.4,IC50,3.1
2314,CHEMBL2048577,CHEMBL2048568,CHEMBL2051644,12.0,IC50,49.0
2319,CHEMBL2048575,CHEMBL2048568,CHEMBL2051643,2.0,IC50,3.1
2324,CHEMBL2048575,CHEMBL2048568,CHEMBL2051644,11.0,IC50,49.0
2329,CHEMBL2048573,CHEMBL2048568,CHEMBL2051643,3.0,IC50,3.1
2334,CHEMBL2048573,CHEMBL2048568,CHEMBL2051644,23.0,IC50,49.0
2339,CHEMBL2048576,CHEMBL2048568,CHEMBL2051643,2.0,IC50,3.1
2344,CHEMBL2048576,CHEMBL2048568,CHEMBL2051644,30.0,IC50,49.0
2349,CHEMBL2023227,CHEMBL2023226,CHEMBL2024776,3.0,IC50,3.0
2350,CHEMBL2023227,CHEMBL2023226,CHEMBL2024777,18.0,IC50,6.0
2351,CHEMBL1970317,CHEMBL2023226,CHEMBL2024776,3.0,IC50,3.0
2352,CHEMBL1970317,CHEMBL2023226,CHEMBL2024777,9.0,IC50,6.0
2355,CHEMBL2023307,CHEMBL2023305,CHEMBL2027053,10.7,IC50,3.18
2358,CHEMBL2023310,CHEMBL2023306,CHEMBL2027053,1.81,IC50,1.03
2360,CHEMBL2023308,CHEMBL2023306,CHEMBL2027053,1.55,IC50,1.03
2362,CHEMBL2022137,CHEMBL2023306,CHEMBL2027053,2.4,IC50,1.03
2364,CHEMBL2023309,CHEMBL2023306,CHEMBL2027053,1.59,IC50,1.03
2366,CHEMBL2022136,CHEMBL2023306,CHEMBL2027053,0.31,IC50,1.03
2376,CHEMBL1276179,CHEMBL1278218,CHEMBL1285565,0.16,IC50,1.2
2380,CHEMBL1276179,CHEMBL1278218,CHEMBL1285566,0.024,IC50,202.0
2384,CHEMBL1276180,CHEMBL1278218,CHEMBL1285565,9.6,IC50,1.2
2388,CHEMBL1276180,CHEMBL1278218,CHEMBL1285566,1.253,IC50,202.0
2392,CHEMBL1276181,CHEMBL1278218,CHEMBL1285565,0.35,IC50,1.2
2396,CHEMBL1276181,CHEMBL1278218,CHEMBL1285566,0.07,IC50,202.0
2400,CHEMBL1276178,CHEMBL1278218,CHEMBL1285565,0.38,IC50,1.2
2404,CHEMBL1276178,CHEMBL1278218,CHEMBL1285566,0.087,IC50,202.0
2408,CHEMBL1276186,CHEMBL1278218,CHEMBL1285565,0.11,IC50,1.2
2412,CHEMBL1276186,CHEMBL1278218,CHEMBL1285566,0.017,IC50,202.0
2420,CHEMBL1276174,CHEMBL1278218,CHEMBL1285565,1.9,IC50,1.2
2424,CHEMBL1276169,CHEMBL1278218,CHEMBL1285565,0.23,IC50,1.2
2428,CHEMBL1276169,CHEMBL1278218,CHEMBL1285566,0.044,IC50,202.0
2432,CHEMBL1276177,CHEMBL1278218,CHEMBL1285565,0.61,IC50,1.2
2436,CHEMBL1276177,CHEMBL1278218,CHEMBL1285566,0.107,IC50,202.0
2440,CHEMBL1276185,CHEMBL1278218,CHEMBL1285565,0.1,IC50,1.2
2444,CHEMBL1276185,CHEMBL1278218,CHEMBL1285566,0.033,IC50,202.0
2448,CHEMBL1276183,CHEMBL1278218,CHEMBL1285565,0.5,IC50,1.2
2452,CHEMBL1276183,CHEMBL1278218,CHEMBL1285566,0.068,IC50,202.0
2456,CHEMBL2048659,CHEMBL2048658,CHEMBL2051312,4.0,IC50,14.0
2457,CHEMBL2048660,CHEMBL2048658,CHEMBL2051312,2.0,IC50,14.0
2459,CHEMBL2048706,CHEMBL2048703,CHEMBL2051643,1.4,IC50,1.0
2464,CHEMBL2048706,CHEMBL2048703,CHEMBL2051644,8.0,IC50,2.0
2470,CHEMBL2048707,CHEMBL2048704,CHEMBL2051643,1.9,IC50,1.0
2475,CHEMBL2048707,CHEMBL2048704,CHEMBL2051644,5.0,IC50,11.0
2506,CHEMBL2088597,CHEMBL2088592,CHEMBL2090357,4.5,IC50,42.7
2507,CHEMBL2088597,CHEMBL2088592,CHEMBL2090358,35.16,IC50,14.01
2508,CHEMBL2088597,CHEMBL2088592,CHEMBL2090360,42.0,IC50,15.15
2509,CHEMBL2088598,CHEMBL2088592,CHEMBL2090357,25.8,IC50,42.7
2510,CHEMBL2088598,CHEMBL2088592,CHEMBL2090358,15.06,IC50,14.01
2511,CHEMBL2088598,CHEMBL2088592,CHEMBL2090360,16.54,IC50,15.15
